"nombre","apellido","pais","fecha_nacimiento","posicion_id","equipo_id"
"Cece","Chasteau","Brazil",1984/05/24,3,4
"Riccardo","Arpino","China",2000/07/04,2,5
"Keefer","Bruni","Honduras",1964/06/02,2,1
"Boycey","Pickle","Japan",1984/06/23,4,2
"Mei","Pettinger","Bolivia",1969/06/07,2,3
"Stinky","Kornilov","Indonesia",1970/07/03,3,4
"Talia","Josef","Brazil",1998/01/14,1,5
"Noak","Rehm","China",1992/11/25,3,1
"Christiane","Hartop","Poland",1995/10/20,1,2
"Sherlock","Wallsam","Poland",1970/04/24,1,3
"Gottfried","Lago","Russia",1975/07/22,4,4
"Nanni","Hanaby","Russia",1963/01/24,4,5
"Orson","Fittis","Vietnam",1972/04/10,4,1
"Risa","Shorten","China",2000/05/28,2,2
"Ber","Griffitts","China",1962/01/12,3,3
"Maxwell","Kilgrew","Libya",1994/10/18,2,4
"Madlin","Sutherington","China",1995/03/07,4,5
"Doug","Greatbatch","Bosnia and Herzegovina",1964/11/18,4,1
"Roanne","Whitebread","Spain",1996/11/22,2,2
"Louie","Addicott","Sweden",1963/12/11,3,3
"Kort","Abrahamsson","Ukraine",1963/03/28,3,4
"Yetta","Kohrsen","Canada",1971/08/11,1,5
"Letti","Ateridge","Latvia",1967/01/04,2,1
"Izak","Roebottom","China",1978/01/17,3,2
"Raimundo","Pereira","United States",1993/02/28,4,3
"Nissy","Wythill","France",1989/07/20,1,4
"Rhetta","Norris","Sweden",1964/04/03,3,5
"Micki","Elias","Kazakhstan",1962/03/18,7,6
"Asa","Dowears","South Africa",1976/02/20,8,7
"Trace","Adanez","Portugal",1963/07/17,7,8
"Albie","Mertel","Peru",2000/10/06,8,9
"Almire","Oldford","Greece",1985/12/27,6,10
"Lil","De Mattia","France",1979/08/31,9,6
"Ashlin","Mattei","Albania",1982/12/24,5,7
"Hilary","Hurlston","Japan",1975/04/17,7,8
"Eustacia","McCaffery","Central African Republic",1967/07/21,7,9
"Loralyn","Ellcome","Sweden",1972/11/26,6,10
"Janene","Rosentholer","Venezuela",1980/12/31,9,6
"Mimi","Fiorentino","China",1996/11/01,5,7
"Somerset","Pittem","Myanmar",1971/12/19,8,8
"Ade","Hyman","Indonesia",1984/12/27,5,9
"Ashlen","Southern","Russia",1963/12/08,9,10
"Worth","Clacson","Russia",1995/07/01,6,6
"Tova","Boynton","China",1976/08/31,8,7
"Stillmann","Howood","Russia",1983/11/03,5,8
"Eydie","Smartman","China",1996/09/23,7,9
"Coralie","Baldoni","Indonesia",1995/11/16,9,10
"Waring","Edmons","Indonesia",2000/02/17,7,6
"Rafe","Giraudy","Portugal",1978/11/01,8,7
"Padget","Barriball","China",1979/05/13,9,8
"Norean","Huton","China",1977/10/28,7,9
"Cesaro","Maulin","China",1966/01/19,9,10
"Juditha","Nottingham","United States",1976/04/28,6,6
"Marcos","Saffrin","Ecuador",1980/11/21,9,7
"Sonny","Rowsel","Philippines",1973/12/25,7,8
"Nickie","Simunek","United Arab Emirates",1971/07/29,7,9
"Sallie","Yesenev","China",1976/03/13,9,10
"Carleton","Foxen","Philippines",1975/11/18,8,6
"Alexandros","Rolfs","Thailand",1980/09/01,6,7
"Major","Greenig","Canada",1963/08/29,9,8
"Vernice","Vasenkov","Indonesia",1969/05/06,6,9
"Gustaf","Hurl","Lesotho",1991/07/05,9,10
"Truda","Gregersen","Russia",1971/08/06,9,6
"Meir","Thorn","Sweden",1973/05/15,5,7
"Rafaelita","O'Scollain","Russia",1974/07/15,9,8
"Marlin","Straine","Morocco",1974/12/17,9,9
"Creighton","Swatheridge","Greece",1965/04/28,7,10
"Moll","Francesc","Ukraine",1979/01/17,6,6
"Ardelle","Hubatsch","Russia",1997/02/27,6,7
"Idalina","Boxhall","Netherlands",1987/11/27,8,8
"Dennis","Southcoat","Dominican Republic",1986/10/31,6,9
"Marjy","Dowman","Sweden",1962/12/10,6,10
"Erskine","Humphrey","Yemen",1988/06/16,6,6
"Gerrard","Ryland","Costa Rica",1962/11/21,8,7
"Allison","Farrear","Guadeloupe",1968/07/06,5,8
"Camel","Freed","Argentina",1996/09/16,8,9
"Alphard","Langfield","China",1966/06/06,8,10
"Yardley","Boulde","Philippines",1988/10/04,5,6
"Kevan","Galler","Portugal",1975/07/12,5,7
"Nolly","Schreurs","Slovenia",1996/04/23,8,8
"Federico","Dielhenn","Peru",1962/03/09,6,9
"Cayla","Graben","Ukraine",1986/10/29,9,10
"Bone","Liffe","China",1989/02/20,11,11
"Hermy","Dollin","Philippines",1996/08/20,13,12
"Bonnibelle","Gullam","Equatorial Guinea",1989/04/11,10,13
"Harlin","Pleager","Portugal",1979/01/28,16,14
"Gena","Ralls","Portugal",1984/07/22,12,15
"Shepard","Rotherforth","Botswana",1965/02/10,11,11
"Clemmie","Budnik","Kosovo",1969/10/08,14,12
"Helene","Manilow","Peru",1992/11/08,10,13
"Ber","MacQuaker","Indonesia",1977/09/28,15,14
"Fay","Kilby","Dominican Republic",1996/07/01,11,15
"Caria","Massy","Brazil",1988/03/30,16,11
"Randie","Frantz","China",1977/09/17,10,12
"Chelsie","Pizey","Pakistan",1968/05/18,15,13
"Sybil","Massow","Norway",1989/09/06,15,14
"Ray","Learmouth","Indonesia",1987/08/29,16,15
"Quinn","Rawling","Indonesia",1965/11/26,10,11
"Galvan","Erni","Estonia",1965/02/26,15,12
"Ruy","Gerner","Suriname",1965/09/28,10,13
"Reinhard","Peeters","Sweden",1966/09/03,13,14
"Daryl","Gardiner","Japan",1979/12/29,16,15
"Lesya","Rickcord","Morocco",1995/07/13,10,11
"Essie","Martellini","Malaysia",1996/08/24,16,12
"Nicoli","Defraine","South Korea",1994/08/18,10,13
"Nerty","Orro","Portugal",1963/01/06,16,14
"Hendrick","Praten","China",1978/11/30,16,15
"Lynda","Talmadge","Germany",1998/01/31,16,11
"Natala","Matveichev","Poland",1969/04/14,12,12
"Omar","Niset","United States",1970/03/30,16,13
"Kalila","Prowting","China",1982/03/08,10,14
"Ellerey","Coale","Dominican Republic",1969/01/11,14,15
"Merla","Gilcriest","China",1990/12/05,15,11
"Benson","Mobley","Morocco",1967/02/20,10,12
"Robinia","Giggie","Russia",1988/12/29,10,13
"Sayers","Fitch","China",1998/06/28,13,14
"Barr","Winman","Greece",1966/03/22,11,15
"Chelsy","Knibley","Japan",1996/05/26,16,11
"Valle","Pasterfield","Japan",1988/07/14,10,12
"Adams","Mityukov","Ecuador",1961/03/21,11,13
"Ronica","Arnao","Brazil",1974/02/15,14,14
"Edmon","Dyzart","Indonesia",1966/11/30,16,15
"Mareah","Elner","Saudi Arabia",1999/09/21,16,11
"Norrie","Bladge","Russia",1966/02/11,10,12
"Huntley","Colegrove","Niger",1978/04/03,12,13
"Alonzo","Rao","Indonesia",1984/07/04,10,14
"Kristy","Ugoni","Peru",1987/08/12,11,15
"Cairistiona","Fincham","China",1989/01/08,11,11
"Arline","Hodge","Czech Republic",1971/11/28,11,12
"Eal","Dobsons","Canada",1993/06/21,11,13
"Evie","Pratley","Netherlands",1999/10/14,10,14
"Joella","Gaskin","China",1977/08/07,16,15
"Lissa","Scholes","Philippines",1997/03/27,10,11
"Vivi","Tinmouth","Ukraine",1990/11/29,15,12
"Dawna","Karslake","Argentina",1993/06/17,16,13
"Hunt","Struss","Russia",1969/05/02,16,14
"Gertruda","Greneham","Philippines",1995/03/21,14,15
"Arielle","Sighard","Albania",1994/12/25,16,11
"Shanon","Ozintsev","Philippines",1984/07/04,10,12
"Mae","Pohlke","Palestinian Territory",1983/09/25,16,13
"Hillard","Josephsen","Indonesia",1971/10/05,10,14
"Lula","Lyddy","Indonesia",2000/03/27,10,15
"Gerri","Fridd","Australia",1973/12/07,10,11
"Bettine","Armer","Ivory Coast",1984/01/29,10,12
"Willy","Estrella","Indonesia",1974/09/26,15,13
"Kristi","Rawood","Ecuador",1974/10/09,12,14
"Garrot","Sleightholme","Indonesia",1993/10/29,15,15
"Othella","Sainsbury","Philippines",1992/08/13,14,11
"Fawn","Kinloch","Indonesia",1997/07/05,14,12
"Anstice","McPhee","China",1987/03/26,10,13
"Weider","Dinning","Morocco",1986/08/28,15,14
"Raquel","World","China",1976/12/28,10,15
"Eugenia","Domican","Bangladesh",1979/12/26,16,11
"Lyle","St. Clair","Greece",1984/04/29,13,12
"Suzie","Mattam","Czech Republic",1979/01/21,10,13
"Lind","Dorn","Portugal",1995/09/28,16,14
"Wye","Moulton","Pakistan",1997/10/14,16,15
"Gus","Moizer","Peru",1996/01/22,10,11
"Grantham","Grandison","Greece",1989/07/22,16,12
"Reiko","Carvell","Russia",1963/05/24,13,13
"Chryste","Higginbottam","Philippines",1983/04/19,16,14
"Gerick","Dulen","Bahamas",1969/05/26,11,15
"Cahra","Dabbs","Nigeria",1993/10/10,19,16
"Clarabelle","Sinkinson","Paraguay",1991/07/27,21,17
"Erda","Tolwood","Bosnia and Herzegovina",1961/11/05,20,18
"Elisa","Bacup","Brazil",1962/10/04,21,19
"Joanna","Eydel","Mexico",1984/09/11,21,20
"Emmey","Hrinchenko","Greece",1975/02/21,21,16
"Traci","Amoss","Ecuador",1973/06/14,17,17
"Venus","Pargetter","China",1973/05/21,19,18
"Yuri","Maxworthy","Indonesia",1990/11/09,21,19
"Lilith","Magnay","Malaysia",1993/06/23,17,20
"Mirabel","Phillipson","China",1972/03/24,21,16
"Austine","Haggis","Ukraine",1995/02/25,21,17
"Hussein","Cawthorn","Armenia",1995/04/14,21,18
"Noelyn","Sich","Philippines",1995/01/28,17,19
"Alfi","Olding","Indonesia",1960/05/23,18,20
"Devlen","Mattheis","Indonesia",1990/03/05,21,16
"Darius","Hawtin","Indonesia",1972/04/03,20,17
"Jared","Askin","Poland",1992/12/29,19,18
"Aubree","Longmaid","Micronesia",1977/02/09,18,19
"Clarette","Tumbridge","Indonesia",1990/03/11,18,20
"Egon","Josephi","Sweden",1998/01/14,17,16
"Helene","Brandt","Nigeria",1987/02/11,17,17
"Tuck","Giffen","China",1998/06/18,19,18
"Herrick","MacVaugh","China",1961/09/15,20,19
"Hasty","Cristofolini","China",1998/01/24,19,20
"Ginny","Mascall","Poland",1966/05/21,21,16
"Miltie","Crighten","Sweden",1961/11/22,17,17
"Lenee","Ventris","Poland",1980/11/28,18,18
"Antonin","O'Hollegan","Indonesia",1988/01/07,17,19
"Deidre","Seebright","Indonesia",1995/11/01,20,20
"Carleton","Yendall","Syria",1985/11/17,21,16
"Atlanta","Burwin","Pakistan",1988/09/08,17,17
"Jackie","Kennicott","Indonesia",1999/06/26,18,18
"Tabina","Dunning","China",1971/12/07,17,19
"Brod","Clynter","Indonesia",1977/12/23,20,20
"Kasper","Kovalski","Swaziland",1965/03/01,21,16
"Kiersten","Wallentin","Mongolia",1999/11/23,21,17
"Haskell","Marrable","Philippines",1998/08/08,21,18
"Tuckie","Caughtry","Ethiopia",1960/02/05,19,19
"Nathanil","Tabourier","China",1964/08/11,17,20
"Newton","Stowgill","Indonesia",1992/03/04,20,16
"Daphna","Coggeshall","Argentina",1974/03/12,21,17
"Clayton","Peterson","Czech Republic",1965/07/27,19,18
"Frank","Gueste","China",1963/10/06,17,19
"Tillie","Abelevitz","China",1994/06/23,20,20
"Marcelia","Altoft","Philippines",1987/07/17,20,16
"Debi","Balam","Macedonia",1979/07/10,20,17
"Otto","Remnant","Mongolia",1986/10/28,21,18
"Kinsley","Dranfield","Indonesia",1963/09/12,20,19
"Ardyce","Comusso","Kazakhstan",1971/10/12,19,20
"Jewel","Braisher","Netherlands",1971/05/17,18,16
"Sawyer","McGavigan","Canada",1988/04/29,18,17
"Sherye","Tebbit","Tanzania",1975/03/03,18,18
"Zorine","Gonthier","Sierra Leone",1983/10/06,21,19
"Sherman","Coarser","Albania",1972/03/18,20,20
